Тендерная таблица по заявке Материалы для фасада ВВ Ресторан СпортЗал;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Поставщик:;ДревЛуга;;ЛесПромКом;;ЛесоБиржа;;Северный лес;;Аквамарин                   (Термолес);;Сергеев АА                                  (SGS Thermo);;Русский мастер;;;;;;;;;;;;;;;;;;;;;
;;;Комментарий:;Нет в наличии;;Нет в наличии;;;;изготовят имитацию под наш размер;;брусок 40х40         брусок 18х65;;Работает без НДС                     Брусок 40х40 и 20х40;;брусок 40х40х3000;;;;;;;;;;;;;;;;;;;;;
;;;Контакт:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Телефон:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Сайт:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
п/н;Наименование по Заявке;Кол-во;Ед.изм.;Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);;;;;;
;Тендер Брусок Термо;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;брусок термосушка 50х50х 4000;285;шт;;;;;14;288 300,00;14;295 000,00;30;330 226,00;14;456 600,00;14;350 000,00;;;;;;;;;;;;;;;;;;;;
3;брусок термосушка 20х40х 4000;285;шт;;;;;14;85 500,00;14;232 300,00;30;291 352,00;14;279 120,00;;;;;;;;;;;;;;;;;;;;;;
;;;Итого:;;0,00 ?;;0,00 ?;;373 800,00 ?;;527 300,00 ?;;621 578,00 ?;;735 720,00 ?;;350 000,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Поставщик:;ДревЛуга;;ЛесПромКом;;ЛесоБиржа;;Северный лес;;АрхЛес;;Петрович;;ЛенВуд;;Русский мастер;;SGS Thermo;;ТСК МОНОЛИТ;;;;;;;;;;;;;;;
;;;Комментарий:;Нет в наличии;;Нет в наличии;;Имитация раб.160;; Имитация раб.170;; Имитация раб.160;;Имитация раб.180;;Имитация раб.180;;Имитация раб.172;;Имитация раб.180;; Имитация раб.160;;;;;;;;;;;;;;;
;;;Контакт:;;;;;;;;;;;;;Любовь;;;;;;;;;;;;;;;;;;;;;
;;;Телефон:;;;;;;;;;;;;;+7 931 950-09-50;;;;;;;;;;;;;;;;;;;;;
;;;Сайт:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
п/н;Наименование по Заявке;Кол-во;Ед.изм.;Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);;;;;;
;Тендер Имитация бруса;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;имитация бруса 20х170х6000 с рабочей плоскостью 170 мм;350;м2;;;;;10;483 786,00;14;421 513,60;7;370 398,00;3;311 777,00;5;468 387,36;7;622 080,00;;;10;391 300,00;;;;;;;;;;;;;;
;;;Итого:;;0,00 ?;;0,00 ?;;483 786,00 ?;;421 513,60 ?;;370 398,00 ?;;311 777,00 ?;;468 387,36 ?;;622 080,00 ?;;0,00 ?;;391 300,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Поставщик:;Петрович;;ВсеИнстументы;;Металласт              (ГрандЛайн);;СтройТорговля                   (ВИМОС);;МаксМир СПБ;;Термодом;;Интернет Решения;;Яндекс Маркет;;ТатМетиз;;ЧипДип;;Петров                          (КрепСерп);;Даврус;;Директ Лайн;;;;;;;;;
;;;Комментарий:;;;Дюбель не согласован ИТР;;;;Саморезы не для пенобетона;;Заявка через сайт                готовит КП;;Заявка через сайт;;Саморезы не для пенобетона;;;;Заявка через сайт;;Заявка через сайт;;Цена с доставкой ДЛ;;;;;;;;;;;;;
;;;Контакт:;;;;;;;;;Петр;;;;;;;;;;;;Иван;;Инна;;;;;;;;;;;
;;;Телефон:;;;;;;;;;8 812 670-11-40;;;;;;;;;;;;8 926 848 50 50;;+7 921 369-53-13;;;;;;;;;;;
;;;Сайт:;;;;;;;;;;;;;;;;;;;;;www.krepserp.ru;;;;;;;;;;;;;
п/н;Наименование по Заявке;Кол-во;Ед.изм.;Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);;;;;;
;Тендер Материалы для фасада;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Утеплитель Роквул Фасад Баттс Оптима 50х600х1200 мм 3,6 кв.м;325;м2;2;302 310,00;;;;;14;307 224,00;;274 100,00;;0,00;;;;;;;;;;;;252 457,60;;336 082,80;;;;;;;;
7;Антисептик Neomid 450 огнебиозащитный I группа красный 10 кг;200;л;2;59 740,00;3;59 860,00;;;14;62 820,00;;;;;14;84 720,00;;80 895,00;;;;;;;;58 800,00;;;;;;;;;;
2;Подвес прямой Knauf 60х27 30х302 мм 0.9 мм;1450;шт;2;29 000,00;3;33 350,00;;;14;28 225,00;;;;;14;39 812,40;;75 345,00;;;;;7;27 405,00;;25 375,00;;;;;;;;;;
3;Шуруп для пенобетона, прессшайба TORX 8х140 мм;1600;шт;;;7;100 960,00;;;14;99 360,00;;;;;;;;;7;104 080,00;7;126 400,00;7;92 748,80;;;;;;;;;;;;
4;Дюбель для теплоизоляции Daxmer 10х160 мм пластиковый гвоздь;2600;шт;2;24 221,00;6;24 186,00;;;14;30 841,20;;;;0,00;14;29 586,00;;;;;;;7;13 985,00;;21 736,00;;;;;;;;;;
5;ветро- влагозащитная пленка Grand Line Facade 75 м2;5;рул;2;32 425,00;3;25 220,00;3;22 378,02;14;26 955,00;;;;0,00;14;26 401,20;;;;;;;;;;32 521,50;;;;;;;;;;
6;лента универсальная высокопрочная Grand Line Ultra Band 50ммх25м;14;шт;;;8;25 172,00;3;24 124,43;14;28 854,00;;;;0,00;14;34 171,20;;41 966,00;;;;;;;;6 699,00;;;;;;;;;;
;;;Итого:;;447 696,00 ?;;268 748,00 ?;;46 502,45 ?;;584 279,20 ?;;274 100,00 ?;;0,00 ?;;214 690,80 ?;;198 206,00 ?;;104 080,00 ?;;126 400,00 ?;;134 138,80 ?;;397 589,10 ?;;336 082,80 ?;;0,00 ?;;;;;;
